,cnpj,name,phone,address
48,04.520.710/0001-01,Teixeira Rodrigues e Filhos,11 7129-6338,"Campo de da Mota, 37
Conjunto Paulo Vi
58382-702 Sales Verde / AP"
49,04.606.194/0001-24,da Luz - ME,84 1754-3579,"Favela Maysa Teixeira, 9
Vila Jardim Montanhes
25420-983 da Rosa de Teixeira / RS"
50,04.663.753/0001-38,Oliveira Santos - ME,84 1901 6937,"Setor Matheus Rodrigues, 2
Alto Das Antenas
25697-113 Pastor / MA"
51,04.696.215/0001-40,da Cunha e Filhos,(071) 6907 6486,"Passarela de Nunes, 64
Vila Suzana Primeira Seção
97381-557 Montenegro das Flores / MS"
52,04.765.896/0001-50,Aparecida - ME,0300-830-2196,"Núcleo de Abreu, 88
Serra Verde
38713850 Peixoto / MA"
53,04.770.330/0001-17,Fonseca Câmara S/A,+55 71 8421 7407,"Loteamento Ribeiro, 782
Cidade Jardim
65472-684 Peixoto / SP"
54,05.145.116/0001-32,da Costa Sampaio S.A.,+55 (071) 6873-0631,"Chácara de Guerra, 684
Maria Virgínia
34014084 Novaes / RN"
55,05.298.841/0001-40,Alves Pinto e Filhos,51 5464 4511,"Aeroporto Allana Lopes
Milionario
98312208 Gonçalves Alegre / RS"
56,05.339.008/0001-09,Moraes - EI,(051) 2918-8818,"Viaduto Bento Marques, 67
Bela Vitoria
77622-995 Andrade de Minas / RN"
57,05.551.129/0001-01,Cavalcanti Ltda.,+55 71 1245-0394,"Recanto de Moura, 688
Vila Paquetá
54809-771 Cunha do Oeste / SE"
58,05.633.441/0001-44,Novaes - EI,0800 322 5151,"Rua João Pedro Pimenta, 569
Barão Homem De Melo 1ª Seção
10144-284 Nogueira / SP"
59,05.785.882/0001-61,Borges,31 3843-6187,"Residencial da Costa, 340
Vila Batik
91279828 Dias de Aparecida / AP"
60,05.809.862/0001-83,Siqueira,+55 (021) 0184-3910,"Vereda de Almeida, 338
São Vicente
33476819 Porto / AL"
61,05.904.092/0001-58,Barbosa,+55 (051) 1545 5449,"Trevo Emilly Mendonça, 40
Acaba Mundo
44771-634 Gonçalves do Campo / SP"
62,06.092.334/0001-19,Sales,41 7010 1461,"Distrito Nicole Silveira, 37
Vila Suzana Segunda Seção
44875765 Pires do Amparo / MG"
63,06.096.094/0001-20,Mendonça Gomes Ltda.,(041) 7726-5048,"Recanto de Costa, 56
Novo Aarão Reis
10823591 Almeida / MT"
64,06.144.272/0001-41,Lopes,+55 31 6505-1056,"Pátio Benjamin Melo, 170
Conjunto Providencia
37631078 Ramos da Praia / PB"
65,06.321.155/0001-06,Siqueira Aparecida e Filhos,31 0938-6297,"Favela de Nogueira, 1
Funcionários
39396689 Pereira / AL"
66,06.336.615/0001-70,Teixeira - ME,+55 (021) 6454-4805,"Residencial Barros, 56
Nazare
70813-134 Almeida de Cunha / RJ"
67,06.371.080/0001-78,da Conceição S.A.,+55 31 0836-9442,"Fazenda Macedo, 69
Garças
80614206 Gomes de Minas / TO"
68,06.393.349/0001-17,Araújo S/A,51 4093 6133,"Residencial de Oliveira, 75
Vila Antena
37382126 Lopes de Martins / SC"
69,06.403.476/0001-50,Montenegro,(061) 7980 8922,"Rodovia Ana Carolina Aparecida, 87
Nazare
72532334 Moura de Silva / TO"
70,06.734.611/0001-40,Correia - EI,+55 71 5609-3502,"Rua Luara Cassiano, 65
Alto Caiçaras
15533243 Guerra / SP"
71,06.770.632/0001-10,Nogueira,(081) 9478-7066,"Rua Samuel Cirino, 48
Europa
70463167 Ferreira do Sul / GO"
72,06.795.364/0001-91,Freitas - ME,(084) 9356-2390,"Travessa de Cavalcanti, 410
Jardim Guanabara
88124-124 Novais / MG"
73,06.943.199/0001-78,Fernandes e Filhos,+55 41 2595-3912,"Alameda Enrico Pereira, 7
Vila Santo Antônio Barroquinha
65860396 Teixeira / RO"
74,06.981.499/0001-41,Cunha Silveira S.A.,0900 266 9669,"Ladeira de Pires
Vila São Gabriel
80714025 Campos / CE"
75,06.992.218/0001-56,Lopes,(021) 8910 4247,"Setor Ferreira, 76
Coração Eucarístico
82032-084 Martins / AM"
76,07.242.557/0001-88,Vasconcelos S.A.,31 6851-1128,"Viaduto Peixoto, 897
Unidas
85804701 Viana / RO"
77,07.456.740/0001-86,Pacheco e Filhos,+55 (061) 2519 5824,"Trevo Lopes, 34
Flavio Marques Lisboa
92810-935 Garcia / PA"
78,07.472.261/0001-53,Moreira,11 8737-5917,"Lagoa de Novais, 314
Atila De Paiva
61213759 Aragão Verde / SP"
79,07.474.222/0001-95,da Rosa Montenegro e Filhos,81 3190-8306,"Largo de Sousa, 7
Vila Novo São Lucas
90419636 Novaes / MS"
80,07.548.696/0001-34,Correia da Cruz S.A.,(021) 5011-1355,"Área Almeida, 3
Madri
04484344 Correia das Pedras / ES"
81,07.614.693/0001-51,Vieira,+55 81 4638-1188,"Colônia de Silveira, 78
Vila Cloris
92967582 Rodrigues de Moreira / DF"
82,07.688.272/0001-75,Cavalcanti,+55 (081) 4497-9111,"Estrada Fernanda Martins, 80
Nova Pampulha
33026823 Pinto de Minas / RS"
83,07.695.697/0001-01,Albuquerque Casa Grande S/A,+55 21 0805 5154,"Área Viana, 95
Alto Das Antenas
12391284 Gomes das Flores / MS"
84,07.725.689/0001-60,Silva Siqueira e Filhos,+55 (021) 9426-8036,"Praça de Teixeira, 922
Nova America
31598-301 Mendes das Pedras / BA"
85,07.813.419/0001-01,da Cunha - ME,0800 243 1010,"Esplanada de Albuquerque, 14
Bela Vitoria
51347-799 Melo do Oeste / CE"
86,07.892.284/0001-17,Viana,+55 (081) 6464 5975,"Esplanada de Macedo, 30
Jardim América
27482792 Lima / MT"
87,07.926.979/0001-72,Pereira Sampaio S/A,61 7089-8741,"Pátio de Sales, 80
Conjunto Lagoa
70222-642 Brito de Minas / SP"
88,07.928.059/0001-93,Barros,81 6833 9162,"Aeroporto Pires, 33
Virgínia
14204257 Ferreira do Norte / RN"
89,07.977.018/0001-97,Ferreira Aparecida Ltda.,+55 (051) 9559 8249,"Via de Campos, 4
Vila Da Amizade
10434-687 Fonseca / SC"
90,08.051.448/0001-46,Nunes,(041) 5537-6254,"Condomínio Vargas, 718
Virgínia
41409284 Ramos das Pedras / PB"
91,08.231.352/0001-60,Moura,61 7432 1713,"Avenida de Novais
Miramar
47191450 Almeida de Goiás / PI"
92,08.236.805/0001-40,Marques S/A,+55 (051) 8962 2118,"Quadra Carolina Viana
Santo André
38427-116 Lopes / RS"
93,08.312.260/0001-04,Câmara,+55 31 4066 3797,"Condomínio Guilherme Cirino, 417
Vila Copasa
40093-146 da Rocha / RS"
94,08.343.349/0001-38,Caldeira,11 8126 0431,"Alameda Gabrielly Caldeira, 90
Vila Nova Cachoeirinha 1ª Seção
52566413 Pereira do Sul / MG"
95,08.545.187/0001-10,da Rosa,21 0908 7545,"Praia Lorena Vasconcelos, 93
Boa Esperança
79679277 da Luz / MA"
96,08.602.247/0001-90,Jesus Barbosa S/A,+55 (031) 4422 4648,"Vale Novaes, 79
Vila Pinho
72370-298 Farias / TO"
97,08.637.758/0001-47,Macedo,+55 41 2761-8133,"Loteamento de Ramos, 54
Palmeiras
53339236 Martins da Praia / SC"
98,08.697.527/0001-29,Camargo das Neves e Filhos,+55 (031) 6524 4366,"Praça Fernanda Vargas, 60
Tirol
44286535 Aragão / RN"
99,08.861.964/0001-36,Siqueira,31 8710 7735,"Rodovia de Sampaio, 68
Barão Homem De Melo 2ª Seção
08443018 Cassiano / RO"
100,09.120.937/0001-75,Martins e Filhos,+55 (081) 0706 2864,"Viaduto Apollo Fernandes, 99
Vila Da Luz
46012637 Carvalho Alegre / PR"
101,09.121.813/0001-04,da Rocha,(071) 6762-7070,"Jardim da Luz, 917
Jardim Vitoria
32923-313 Caldeira / PI"
102,09.342.845/0001-30,Gonçalves,(061) 7200-0682,"Residencial Maria Alice das Neves, 862
Vila Paquetá
62318-814 Machado dos Dourados / MG"
103,09.459.862/0001-51,Brito Gomes - ME,+55 (061) 0353-8484,"Colônia Borges
Vila Copasa
87665976 Rocha / SP"
104,09.566.634/0001-80,Novaes,(021) 1275-5585,"Morro Sales, 9
Conjunto Lagoa
47631-884 das Neves de Araújo / AM"
105,09.590.215/0001-84,Machado Nogueira - ME,(041) 4712 4040,"Avenida Luana Marques, 36
Serra
69144235 das Neves / RO"
106,09.647.448/0001-76,Porto,+55 71 9056-7952,"Esplanada Leonardo Correia, 95
Santa Rita De Cássia
49741-826 Gonçalves / CE"
107,09.783.443/0001-70,Moura Aragão - EI,11 8179-8234,"Pátio de Ribeiro, 514
Conjunto Califórnia I
24206460 Sousa de Goiás / GO"
108,09.893.345/0001-96,Lopes S.A.,(051) 9173 3442,"Vale de Vargas, 382
Casa Branca
23386459 Sales / SP"
109,09.973.380/0001-15,Alves,+55 71 5813 1425,"Jardim Correia, 40
Novo Tupi
39126-269 Moraes / MS"
110,10.155.513/0001-25,Caldeira Porto S/A,(061) 2976-7766,"Jardim Stephany Ribeiro
João Pinheiro
94773263 da Cruz de Guerra / AC"
111,10.251.535/0001-99,Guerra Casa Grande S.A.,61 7419-5833,"Parque de Andrade, 98
Etelvina Carneiro
83583287 da Luz do Norte / CE"
112,10.329.188/0001-70,Moraes,21 5602-5260,"Viela Hadassa Correia, 19
Vila Atila De Paiva
08444-966 Costa / TO"
113,10.427.597/0001-09,Cardoso - EI,41 5143-0084,"Jardim Ana Sophia Pereira, 11
Vila São João Batista
67016-354 Aparecida / CE"
114,10.427.721/0001-36,Macedo,11 1316 8836,"Feira Ágatha Carvalho, 51
Vila Formosa
43436-845 Nunes da Prata / MG"
115,10.432.974/0001-06,Melo Ltda.,(071) 6466-4396,"Trecho Barbosa, 752
Marçola
10779-709 Ferreira / RS"
116,10.893.742/0001-47,Correia,81 3683-9629,"Sítio Vieira, 63
Itaipu
28062972 Gonçalves do Norte / SE"
117,10.969.216/0001-13,Silva Melo S.A.,21 9087-7233,"Trevo de Cavalcante, 173
Parque São José
76887477 Pinto dos Dourados / CE"
118,10.977.394/0001-96,da Conceição,61 9816-2339,"Recanto de Marques, 67
Funcionários
27263537 Rodrigues da Prata / PA"
119,10.985.308/0001-97,Pereira,(051) 6495 1733,"Parque Isabel da Conceição, 34
Santa Tereza
44083971 Montenegro / MG"
120,11.232.983/0001-08,da Cruz - EI,41 3292 3580,"Trevo Melo, 18
Nossa Senhora Da Conceição
28785-037 Silva de Caldeira / SE"
121,11.246.556/0001-89,Casa Grande,+55 81 3286 4990,"Fazenda Ramos, 812
Vila Puc
89659-345 Ribeiro da Serra / CE"
122,11.394.290/0001-11,Fonseca da Mota S/A,0800-408-3235,"Residencial de Moura, 5
Vila Copasa
61127062 Jesus da Mata / AC"
123,11.471.698/0001-40,Siqueira Andrade S.A.,(041) 4123-5284,"Quadra de Guerra, 98
Maria Helena
33757-077 Macedo / SE"
124,11.568.534/0001-35,Gonçalves da Cruz - ME,0800-668-4697,"Núcleo de da Rocha, 77
Jardim Leblon
75195346 das Neves / SP"
125,11.643.372/0001-52,Casa Grande,+55 81 2662-8378,"Colônia Rios, 76
Graça
06885-581 Câmara / ES"
126,11.739.232/0001-82,Machado Pacheco - ME,+55 (071) 0544 7893,"Estrada Ana Sophia Guerra, 79
Maria Helena
13077015 da Mata / RO"
127,11.741.052/0001-35,Pires,(084) 2035 1909,"Chácara de Lopes, 30
Maria Virgínia
24788836 Cavalcante de Moreira / TO"
128,12.046.992/0001-77,Carvalho Ltda.,0300-792-1945,"Jardim Vitor Hugo Cunha
Ambrosina
90191-299 Azevedo / RJ"
129,12.049.436/0001-54,Moraes,(061) 0346 4573,"Vereda de Ribeiro, 31
Nazare
77359616 Costa do Amparo / RJ"
130,12.053.009/0001-40,Jesus e Filhos,+55 (061) 8876-2210,"Lago Alice Lopes, 963
Ipe
41203-898 Santos Grande / MT"
131,12.253.128/0001-46,Farias - ME,(084) 3516-0975,"Vila de Carvalho, 4
Caetano Furquim
74396822 Macedo / RJ"
132,12.370.153/0001-00,Costa,+55 (031) 3999-0444,"Ladeira de Peixoto, 488
Comiteco
29371939 Monteiro da Praia / GO"
133,12.522.869/0001-85,Monteiro - ME,0300 133 6398,"Sítio Câmara, 54
Milionario
30366-679 Casa Grande / SC"
134,12.525.923/0001-46,Araújo,0300-229-9333,"Parque Farias, 6
Venda Nova
78760-380 Sampaio / GO"
135,12.637.560/0001-30,Borges,+55 84 4416 6143,"Esplanada Caldeira, 77
Marieta 2ª Seção
94235-108 Melo / AL"
136,12.810.522/0001-38,Mendes,+55 (081) 7536 1653,"Conjunto de Montenegro, 607
Vila Pilar
33325511 Rodrigues / RS"
137,12.913.581/0001-31,Barros,61 8651 6984,"Campo de Mendes, 61
Coqueiros
40318647 Vieira Paulista / RO"
138,13.026.178/0001-53,Silva S.A.,(041) 1926-6618,"Colônia Maria Fernanda Viana
Bonsucesso
34979-081 Moura da Mata / MG"
139,13.142.429/0001-65,Dias,+55 (021) 2828-0596,"Pátio Ravi Silveira, 582
Vila Havaí
12975580 da Conceição do Galho / RO"
140,13.273.481/0001-50,Jesus Freitas e Filhos,61 4404 3725,"Largo Laura Borges, 4
Marieta 1ª Seção
04045487 Dias da Prata / AP"
141,13.462.273/0001-08,Carvalho,(011) 3719 4406,"Campo Ana Vitória Fernandes
Pindura Saia
63097254 Carvalho / RJ"
142,13.469.803/0001-31,Gonçalves,81 9092-8451,"Área Kamilly Silveira, 18
Jardinópolis
48803678 Jesus / BA"
143,13.524.325/0001-15,Fogaça S.A.,+55 71 6557-1183,"Avenida de Pacheco
Acaiaca
27563602 Aragão / MG"
144,13.587.416/0001-08,da Rocha,+55 81 8248-5622,"Fazenda de Dias
Castanheira
19929380 Pereira de Cavalcante / PB"
145,13.613.989/0001-50,Rezende,0900-966-9705,"Avenida Correia, 10
Satelite
65859964 da Costa de da Paz / DF"
146,13.636.901/0001-16,Gomes - ME,+55 (084) 0937 6430,"Setor de Vieira, 18
Bernadete
27276704 Pires Verde / PE"
147,13.706.296/0001-02,Dias Macedo Ltda.,(021) 7382-9676,"Conjunto Pinto, 29
Lindéia
37661135 Vasconcelos / AL"
148,14.141.455/0001-31,Camargo S.A.,+55 (084) 2774 9900,"Favela Eloá Fernandes, 4
São Paulo
44725064 Rezende de Azevedo / RR"
149,14.177.487/0001-97,Moura,+55 21 1729 9418,"Vila Ribeiro, 66
Renascença
70484-463 Cardoso / PE"
150,14.210.754/0001-80,Farias e Filhos,+55 (031) 1258-4949,"Conjunto Aparecida
São João Batista
56685447 Duarte / RJ"
151,14.387.865/0001-67,Aragão Barros S.A.,(061) 2165 0445,"Estação de Caldeira, 94
Pirineus
25137081 Borges Verde / PE"
152,14.464.121/0001-07,Nunes,+55 11 7198 9778,"Parque Nicolas Melo, 67
Bandeirantes
63354442 Azevedo de Pimenta / DF"
153,14.593.413/0001-31,da Rosa,+55 (011) 3695 5891,"Pátio de Mendonça, 110
São Luiz
62876-234 da Luz / RO"
154,14.710.695/0001-00,Gonçalves S.A.,+55 (084) 1684-1358,"Ladeira de da Cruz, 40
Vila Ecológica
06724-065 da Cunha de Moraes / PB"
155,14.734.436/0001-19,da Mata,0800 840 5898,"Condomínio de Nogueira, 69
Cidade Jardim Taquaril
69558754 Rodrigues do Sul / PI"
156,14.786.043/0001-59,Costela da Mota Ltda.,(031) 2247-1555,"Estação de Jesus, 49
Lagoinha Leblon
93674342 Caldeira / RN"
157,14.889.386/0001-49,da Mata,+55 (084) 6112-6907,"Feira Vasconcelos, 44
Nova Suíça
81530-310 Montenegro de Carvalho / PI"
158,14.946.830/0001-10,Gomes e Filhos,+55 61 3410-7010,"Setor Sampaio, 29
Varzea Da Palma
55414677 Sá da Praia / BA"
159,15.048.307/0001-30,Silveira Ltda.,0500-119-4690,"Avenida Maria Laura Carvalho, 30
Confisco
53638830 Barros / RJ"
160,15.172.990/0001-12,Fonseca - ME,+55 (061) 3723 2631,"Rodovia Clara Sá
Etelvina Carneiro
44469431 Ramos Grande / RR"
161,15.178.153/0001-09,Azevedo,(031) 0479 8932,"Morro Guilherme Teixeira, 32
Santana Do Cafezal
91026-045 Viana / SC"
162,15.314.759/0001-16,Cavalcanti,31 1410 2469,"Largo Leandro Camargo, 37
Horto Florestal
01725376 Pastor / DF"
163,15.559.997/0001-91,da Cruz Ltda.,+55 84 5319 9913,"Residencial Valentim Fernandes, 67
Canadá
51671445 Moura / PE"
164,15.667.788/0001-61,Cunha,+55 21 2452 6438,"Trevo Melissa Porto, 47
Andiroba
05940-789 Macedo de Albuquerque / PB"
165,15.811.325/0001-21,da Paz Moura e Filhos,+55 (061) 8813 4920,"Sítio Apollo Freitas, 1
Flavio Marques Lisboa
39812056 da Cunha de Rocha / MA"
166,15.988.926/0001-04,Siqueira e Filhos,+55 21 2421 3146,"Chácara Teixeira, 82
Mantiqueira
63009-498 Lima / RJ"
167,16.001.882/0001-40,Borges,11 8433-9698,"Colônia de Porto, 30
Nova Granada
36147-595 Nunes / SC"
168,16.054.927/0001-44,das Neves Mendes Ltda.,11 3086 1679,"Estação Guerra, 333
Antonio Ribeiro De Abreu 1ª Seção
46932-962 Macedo / RJ"
169,16.085.286/0001-95,Alves S.A.,+55 51 0438 1371,"Condomínio Marcos Vinicius Alves, 17
Vila Antena
90229422 da Rosa da Praia / PA"
170,16.175.012/0001-97,Freitas,+55 71 1130 3515,"Condomínio de Porto, 12
Buraco Quente
02129943 Oliveira / AC"
171,16.176.736/0001-55,Castro S.A.,(011) 7992 7286,"Via Costa, 5
Vila Nova Gameleira 1ª Seção
31899375 Cirino / SP"
172,16.251.812/0001-40,Almeida - ME,+55 84 1701 1597,"Vereda da Paz, 777
Leticia
37738857 Rezende / BA"
173,16.290.981/0001-99,Cavalcante Campos - ME,+55 81 3154-8222,"Via Agatha Cunha, 69
São Sebastião
64166150 Santos / GO"
174,16.322.796/0001-39,Cavalcante,+55 (081) 9704 0200,"Rodovia Fonseca, 124
São João
06894164 Albuquerque de Duarte / PR"
175,16.458.187/0001-01,Leão,41 3438-5414,"Esplanada Luiz Miguel Câmara, 95
Nossa Senhora Aparecida
36436-108 Rocha das Pedras / RS"
176,16.512.919/0001-02,Porto S.A.,+55 81 4596 1413,"Passarela Nathan da Cruz, 80
Fazendinha
75349-603 Viana de Nunes / RS"
177,16.600.678/0001-45,Pinto,0300 905 1156,"Conjunto da Rocha, 55
Barroca
41025-453 Cardoso / PR"
178,16.639.185/0001-19,Fonseca,+55 41 5839-5733,"Pátio Marina Cassiano, 15
Flavio De Oliveira
52667-999 Viana Verde / ES"
179,16.658.009/0001-24,Gonçalves,(021) 3792-2357,"Trevo Maria Vitória da Conceição, 287
Vila Puc
63656632 Freitas do Amparo / RO"
180,16.733.733/0001-75,Guerra,31 4826-1124,"Jardim Maria Cecília Lima, 3
Alta Tensão 1ª Seção
48436140 Freitas do Oeste / SE"
181,16.842.288/0001-81,Camargo,+55 11 5188 0946,"Conjunto Castro, 79
Vila Copasa
65903503 Fogaça de Goiás / TO"
182,16.924.625/0001-80,Mendonça Pastor - EI,+55 71 7036-8937,"Avenida Vieira, 9
Jardim Felicidade
62582077 Azevedo Paulista / RO"
183,17.012.065/0001-50,da Mata,+55 84 0152-0502,"Fazenda de Porto, 35
Unidas
68381032 Monteiro / PR"
184,17.185.314/0001-09,Casa Grande,41 8470-4165,"Rua Fogaça, 24
Vila Santo Antônio Barroquinha
01491-332 Mendes / PA"
185,17.251.154/0001-59,da Mata e Filhos,+55 21 4401-2732,"Colônia Ana Clara Siqueira, 35
Vila Canto Do Sabiá
72128-026 Cardoso / GO"
186,17.257.618/0001-34,Alves das Neves - ME,(061) 0191 6826,"Lago de Pastor, 734
Bacurau
21411-351 das Neves do Amparo / DF"
187,17.373.140/0001-08,Farias,61 6510 6670,"Esplanada Duarte, 2
Novo Das Industrias
51262296 Monteiro / AL"
188,17.424.050/0001-07,Farias Pimenta S/A,+55 71 4680-1488,"Ladeira Nascimento, 47
Pedreira Padro Lopes
92551-758 Melo / AC"
189,17.491.210/0001-22,Viana Ferreira - ME,(071) 7457 9157,"Área Alexandre Cirino, 84
Vila Nova Cachoeirinha 3ª Seção
80094-406 Rocha / CE"
190,17.506.685/0001-45,Santos,+55 (041) 5973 8061,"Distrito Lavínia Martins, 85
Santa Monica
64036435 Teixeira / SP"
191,17.529.801/0001-41,da Rocha,+55 11 1055-6657,"Recanto de Brito, 98
Cinquentenário
00922-109 Fernandes Grande / SE"
192,17.661.191/0001-35,Oliveira Cavalcanti Ltda.,51 5159 2247,"Trevo de Cavalcanti, 5
Indaiá
05436729 Costela da Serra / MS"
193,17.663.395/0001-05,Garcia,41 5530-3920,"Rodovia de Barbosa, 82
Das Industrias I
23256-737 Andrade do Amparo / PA"
194,17.819.765/0001-50,Garcia Ltda.,+55 (021) 8735 5602,"Residencial de da Rosa, 46
Castelo
37449392 Sales do Galho / MS"
195,17.868.583/0001-70,Cavalcanti,+55 (051) 9217-3246,"Colônia de Andrade, 6
Mirtes
75859745 Nogueira / RR"
196,17.938.541/0001-68,Vieira Rios S/A,+55 (011) 1256 3019,"Campo Lunna Abreu, 31
Mariquinhas
62695-410 Aparecida / TO"
